table,line,geoid,geoname,geotype,name,state,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe,dvap_est,dvap_moe,has_charter,tot_est,tot_moe,p_adu_dvap_est,p_adu_dvap_moe
Place,28653,16000US0614260,"Coachella city, California",city,Coachella,California,34365,792,33650,982,23340,1228,11025,1462,False,45180,31,0.32082060235704934,0.05111517937231652
Place,28666,16000US0614274,"Coalinga city, California",city,Coalinga,California,12775,439,14820,316,10725,504,2050,669,False,16905,30,0.16046966731898238,0.05994213553445471
Place,28770,16000US0614498,"Colfax city, California",city,Colfax,California,1605,243,2055,330,1605,243,0,344,False,2055,330,0.0,0.2525697503671072
Place,28809,16000US0614736,"Colma town, California",town,Colma,California,1055,169,1160,191,915,162,140,235,False,1300,205,0.13270142180094788,0.2905491425331379
Place,28835,16000US0614890,"Colton city, California",city,Colton,California,39495,871,48790,892,34055,1301,5440,1566,False,54580,59,0.13773895429801242,0.04365085514689229
Place,28861,16000US0614946,"Colusa city, California",city,Colusa,California,4545,161,5255,199,3740,238,805,288,False,6105,36,0.1771177117711771,0.07219798165947983
Place,28874,16000US0614974,"Commerce city, California",city,Commerce,California,9795,307,10475,376,7500,444,2295,540,False,12830,25,0.2343032159264931,0.06449526636693015
Place,28900,16000US0615044,"Compton city, California",city,Compton,California,68500,942,78990,1072,51225,1232,17275,1551,False,96805,74,0.2521897810218978,0.026474477837156618
Place,28913,16000US0616000,"Concord city, California",city,Concord,California,102525,826,109760,1350,84910,1343,17615,1577,False,129185,65,0.1718117532309193,0.016902000099988573
Place,28965,16000US0616224,"Corcoran city, California",city,Corcoran,California,18110,302,18760,396,14855,430,3255,526,False,22155,43,0.17973495306460519,0.032585352416077656
Place,28978,16000US0616322,"Corning city, California",city,Corning,California,5490,382,7045,270,4945,399,545,553,False,7590,24,0.09927140255009108,0.1156855277553122
Place,28991,16000US0616350,"Corona city, California",city,Corona,California,124720,1151,149095,1311,107770,1416,16950,1825,False,166970,83,0.13590442591404747,0.016034976363222708
Place,29004,16000US0616378,"Coronado city, California",city,Coronado,California,19190,513,22745,315,18385,646,805,825,False,23640,41,0.04194893173527879,0.04532418493228024
Place,29043,16000US0616462,"Corte Madera town, California",town,Corte Madera,California,7335,273,9410,190,6945,281,390,392,False,9840,43,0.053169734151329244,0.0575637691055385
Place,29056,16000US0616532,"Costa Mesa city, California",city,Costa Mesa,California,90135,833,97230,1136,75030,1311,15105,1554,False,113160,79,0.16758196039274423,0.01896481347570217
Place,29069,16000US0616560,"Cotati city, California",city,Cotati,California,5765,204,6915,181,5265,253,500,325,False,7455,35,0.08673026886383348,0.061624343615936356
Place,29160,16000US0616742,"Covina city, California",city,Covina,California,37240,640,44070,502,33400,775,3840,1006,False,48095,68,0.10311493018259936,0.02928944140210009
Place,29186,16000US0617022,"Crescent City city, California",city,Crescent City,California,5770,217,6340,86,5440,222,330,311,False,6675,20,0.05719237435008666,0.058240724875557134
Place,29329,16000US0617498,"Cudahy city, California",city,Cudahy,California,16560,393,16700,422,9690,550,6870,676,False,23890,35,0.4148550724637681,0.05189819035555521
Place,29342,16000US0617568,"Culver City city, California",city,Culver City,California,31760,429,35410,533,28135,683,3625,807,False,39170,36,0.11413727959697734,0.027320062971086245
Place,29355,16000US0617610,"Cupertino city, California",city,Cupertino,California,44775,449,46625,1017,33635,896,11140,1003,False,60255,45,0.24879955332216638,0.025148016952615898
Place,29407,16000US0617750,"Cypress city, California",city,Cypress,California,37715,406,43175,645,32515,692,5200,803,False,48895,50,0.13787617658756463,0.02302333827480102
Place,29420,16000US0617918,"Daly City city, California",city,Daly City,California,89875,732,88355,1571,72705,1640,17170,1796,False,106675,70,0.19104311543810848,0.021716158986131218
Place,29433,16000US0617946,"Dana Point city, California",city,Dana Point,California,28540,560,32140,387,26970,686,1570,886,False,33770,41,0.05501051156271899,0.03276647199696651
Place,29446,16000US0617988,"Danville town, California",town,Danville,California,33390,433,42235,525,31240,585,2150,728,False,44605,65,0.0643905360886493,0.02293537342981415
Place,29498,16000US0618100,"Davis city, California",city,Davis,California,58310,473,59905,745,50265,822,8045,949,False,68545,79,0.13796947350368718,0.01753651747094842
Place,29550,16000US0618394,"Delano city, California",city,Delano,California,38940,858,38670,1136,25645,1240,13295,1508,False,52885,32,0.3414227015921931,0.047291126463056055
Place,29602,16000US0618506,"Del Mar city, California",city,Del Mar,California,3685,223,3875,278,3250,296,435,371,False,4330,23,0.11804613297150611,0.11476726968591734
Place,29641,16000US0618688,"Del Rey Oaks city, California",city,Del Rey Oaks,California,1260,108,1470,137,1210,104,50,150,False,1525,146,0.03968253968253968,0.13392857142857142
Place,29732,16000US0618996,"Desert Hot Springs city, California",city,Desert Hot Springs,California,21440,700,23860,682,17090,941,4350,1173,False,28585,42,0.20289179104477612,0.06340521956274559
Place,29810,16000US0619192,"Diamond Bar city, California",city,Diamond Bar,California,44945,505,48700,739,38115,752,6830,906,False,56210,107,0.15196351095783736,0.02211389678293671
Place,29849,16000US0619318,"Dinuba city, California",city,Dinuba,California,15740,414,19305,568,11295,560,4445,697,False,24015,39,0.2824015247776366,0.05310676179420215
Place,29875,16000US0619402,"Dixon city, California",city,Dixon,California,14760,476,17700,658,12570,677,2190,828,False,20085,38,0.1483739837398374,0.0629113705026717
Place,29953,16000US0619584,"Dorris city, California",city,Dorris,California,660,143,825,181,580,113,80,183,False,910,200,0.12121212121212122,0.38749194068343007
Place,29966,16000US0619612,"Dos Palos city, California",city,Dos Palos,California,3735,345,4355,445,2780,420,955,544,False,5350,24,0.2556894243641232,0.18649346649133403
Place,30005,16000US0619766,"Downey city, California",city,Downey,California,85715,805,98095,1029,71955,1212,13760,1455,False,112320,47,0.1605319955667036,0.018657734735969794
Place,30057,16000US0619990,"Duarte city, California",city,Duarte,California,17775,284,18745,551,14965,625,2810,687,False,21560,63,0.1580872011251758,0.041844192162800886
Place,30070,16000US0620018,"Dublin city, California",city,Dublin,California,44960,441,49565,784,34435,873,10525,979,False,61240,52,0.23409697508896798,0.024309547968602963
Place,30109,16000US0620242,"Dunsmuir city, California",city,Dunsmuir,California,1350,135,1680,171,1305,133,45,190,False,1725,170,0.03333333333333333,0.160082304526749
Place,30278,16000US0620956,"East Palo Alto city, California",city,East Palo Alto,California,21210,560,21320,889,13145,912,8065,1071,False,29595,41,0.38024516737388026,0.06217614013217304
Place,30408,16000US0621230,"Eastvale city, California",city,Eastvale,California,43160,653,56000,921,37530,867,5630,1086,False,62045,49,0.1304448563484708,0.027552649944610347
Place,30486,16000US0621712,"El Cajon city, California",city,El Cajon,California,77115,871,87170,1260,64165,1150,12950,1443,False,103185,54,0.16793101212474876,0.020844498079332863
Place,30499,16000US0621782,"El Centro city, California",city,El Centro,California,31050,557,37010,777,24725,751,6325,936,False,44005,51,0.2037037037037037,0.03441652061007325
Place,30512,16000US0621796,"El Cerrito city, California",city,El Cerrito,California,20900,301,22280,433,18020,431,2880,526,False,25400,52,0.13779904306220095,0.027548789356848513
Place,30603,16000US0622020,"Elk Grove city, California",city,Elk Grove,California,126600,997,160285,1006,117465,1200,9135,1561,False,170825,125,0.0721563981042654,0.013000803554930634
Place,30642,16000US0622230,"El Monte city, California",city,El Monte,California,88970,957,85870,1791,60530,1661,28440,1917,False,115515,95,0.3196583117904912,0.0252566439546828
Place,30668,16000US0622300,"El Paso de Robles (Paso Robles) city, California",city,Paso Robles,California,24675,534,28545,689,21535,804,3140,966,False,31820,29,0.12725430597771023,0.04282978333093482
Place,30720,16000US0622412,"El Segundo city, California",city,El Segundo,California,12685,410,15870,233,11915,431,770,595,False,16730,70,0.0607016160819866,0.050500013245915645
Place,30798,16000US0622594,"Emeryville city, California",city,Emeryville,California,10915,156,10025,275,9050,323,1865,359,False,11900,30,0.17086578103527256,0.03584487980681314
Place,30824,16000US0622678,"Encinitas city, California",city,Encinitas,California,50000,597,59705,711,47075,766,2925,972,False,62780,54,0.0585,0.020381849280408072
Place,30837,16000US0622790,"Escalon city, California",city,Escalon,California,5600,214,7315,173,5375,273,225,347,False,7540,31,0.04017857142857143,0.0660226911039202
Place,30850,16000US0622804,"Escondido city, California",city,Escondido,California,114260,1071,126735,1189,91025,1545,23235,1880,False,151300,62,0.2033520042009452,0.018533514709903026
Place,30876,16000US0622972,"Etna city, California",city,Etna,California,510,121,735,206,510,121,0,172,False,735,206,0.0,0.442159383033419
Place,30902,16000US0623042,"Eureka city, California",city,Eureka,California,21875,508,26200,253,21145,572,730,766,False,26965,45,0.03337142857142857,0.03664307978257527
Place,30915,16000US0623126,"Exeter city, California",city,Exeter,California,7335,264,9570,422,6540,447,795,520,False,10475,57,0.1083844580777096,0.07758640884351795
Place,30941,16000US0623168,"Fairfax town, California",town,Fairfax,California,6315,179,7050,270,5815,268,500,323,False,7580,27,0.0791765637371338,0.054949903016451584
Place,30954,16000US0623182,"Fairfield city, California",city,Fairfield,California,86040,775,103960,830,75365,1047,10675,1303,False,115280,60,0.12407019990701999,0.01640948108752642
Place,31045,16000US0623616,"Farmersville city, California",city,Farmersville,California,7480,368,8495,448,5295,517,2185,635,False,10715,26,0.29211229946524064,0.10440063641777397
Place,31097,16000US0623910,"Ferndale city, California",city,Ferndale,California,1040,149,1335,199,995,139,45,204,False,1375,206,0.04326923076923077,0.23619204869204868
Place,31162,16000US0624092,"Fillmore city, California",city,Fillmore,California,11360,318,14285,380,10045,509,1315,601,False,15665,27,0.11575704225352113,0.05776224773017749
Place,31175,16000US0624134,"Firebaugh city, California",city,Firebaugh,California,5630,224,5260,548,2825,450,2805,503,False,8300,22,0.49822380106571934,0.11368888853842424
Place,31253,16000US0624638,"Folsom city, California",city,Folsom,California,59245,611,72065,730,53740,963,5505,1141,False,78160,71,0.0929192336906068,0.020427971002915726
Place,31266,16000US0624680,"Fontana city, California",city,Fontana,California,150425,1480,181340,1521,122385,1863,28040,2380,False,210760,91,0.18640518530829317,0.017831277815678753
Place,31383,16000US0625058,"Fort Bragg city, California",city,Fort Bragg,California,5445,204,6310,358,4510,374,935,427,False,7300,28,0.1717171717171717,0.08815689811682942
Place,31422,16000US0625128,"Fort Jones city, California",city,Fort Jones,California,505,119,685,203,500,115,5,166,False,690,208,0.009900990099009901,0.43310419124814037
Place,31435,16000US0625296,"Fortuna city, California",city,Fortuna,California,9345,295,11550,294,8785,363,560,468,False,12210,47,0.0599250936329588,0.05366606658803567
Place,31461,16000US0625338,"Foster City city, California",city,Foster City,California,26540,336,26080,589,19690,618,6850,704,False,33995,55,0.25810097965335344,0.030175619339166793
Place,31474,16000US0625380,"Fountain Valley city, California",city,Fountain Valley,California,45000,447,52045,658,41465,663,3535,800,False,56025,50,0.07855555555555556,0.018744289572718634
